"","X","polyname","RUCC","County","VAM","year","state","state.low","county.low","fips","colorID","color"
"10258",10258,"ohio,lucas",2,"Lucas County",995,1947,"Ohio","ohio","lucas county",39095,15,"#1504FD"
"10259",10259,"ohio,madison",6,"Madison County",136,1947,"Ohio","ohio","madison county",39097,2,"#F20420"
"10260",10260,"ohio,madison",6,"Madison County",351,1958,"Ohio","ohio","madison county",39097,6,"#BF15A0"
"10261",10261,"ohio,madison",6,"Madison County",174,1963,"Ohio","ohio","madison county",39097,3,"#E50840"
"10262",10262,"ohio,madison",6,"Madison County",34,1929,"Ohio","ohio","madison county",39097,1,"#FF0000"
"10263",10263,"ohio,madison",6,"Madison County",136,1954,"Ohio","ohio","madison county",39097,2,"#F20420"
"10264",10264,"ohio,mahoning",2,"Mahoning County",NA,1958,"Ohio","ohio","mahoning county",39099,NA,NA
"10265",10265,"ohio,mahoning",2,"Mahoning County",NA,1963,"Ohio","ohio","mahoning county",39099,NA,NA
"10266",10266,"ohio,mahoning",2,"Mahoning County",607,1929,"Ohio","ohio","mahoning county",39099,9,"#951DF1"
"10267",10267,"ohio,mahoning",2,"Mahoning County",NA,1954,"Ohio","ohio","mahoning county",39099,NA,NA
"10268",10268,"ohio,mahoning",2,"Mahoning County",952,1947,"Ohio","ohio","mahoning county",39099,14,"#2A08FB"
"10269",10269,"ohio,marion",5,"Marion County",NA,1963,"Ohio","ohio","marion county",39101,NA,NA
"10270",10270,"ohio,marion",5,"Marion County",NA,1958,"Ohio","ohio","marion county",39101,NA,NA
"10271",10271,"ohio,marion",5,"Marion County",330,1929,"Ohio","ohio","marion county",39101,5,"#CC1180"
"10272",10272,"ohio,marion",5,"Marion County",972,1954,"Ohio","ohio","marion county",39101,15,"#1504FD"
"10273",10273,"ohio,marion",5,"Marion County",737,1947,"Ohio","ohio","marion county",39101,11,"#6A15F5"
"10274",10274,"ohio,medina",6,"Medina County",668,1963,"Ohio","ohio","medina county",39103,10,"#8019F3"
"10275",10275,"ohio,medina",6,"Medina County",451,1958,"Ohio","ohio","medina county",39103,7,"#B319C0"
"10276",10276,"ohio,medina",6,"Medina County",154,1929,"Ohio","ohio","medina county",39103,3,"#E50840"
"10277",10277,"ohio,medina",6,"Medina County",738,1954,"Ohio","ohio","medina county",39103,11,"#6A15F5"
"10278",10278,"ohio,medina",6,"Medina County",461,1947,"Ohio","ohio","medina county",39103,7,"#B319C0"
"10279",10279,"ohio,meigs",7,"Meigs County",104,1954,"Ohio","ohio","meigs county",39105,2,"#F20420"
"10280",10280,"ohio,meigs",7,"Meigs County",50,1947,"Ohio","ohio","meigs county",39105,1,"#FF0000"
"10281",10281,"ohio,meigs",7,"Meigs County",124,1958,"Ohio","ohio","meigs county",39105,2,"#F20420"
"10282",10282,"ohio,meigs",7,"Meigs County",148,1963,"Ohio","ohio","meigs county",39105,3,"#E50840"
"10283",10283,"ohio,meigs",7,"Meigs County",48,1929,"Ohio","ohio","meigs county",39105,1,"#FF0000"
"10284",10284,"ohio,mercer",7,"Mercer County",822,1958,"Ohio","ohio","mercer county",39107,13,"#3F0CF9"
"10285",10285,"ohio,mercer",7,"Mercer County",NA,1963,"Ohio","ohio","mercer county",39107,NA,NA
"10286",10286,"ohio,mercer",7,"Mercer County",171,1929,"Ohio","ohio","mercer county",39107,3,"#E50840"
"10287",10287,"ohio,mercer",7,"Mercer County",779,1954,"Ohio","ohio","mercer county",39107,12,"#5511F7"
"10288",10288,"ohio,mercer",7,"Mercer County",382,1947,"Ohio","ohio","mercer county",39107,6,"#BF15A0"
"10289",10289,"ohio,miami",6,"Miami County",386,1929,"Ohio","ohio","miami county",39109,6,"#BF15A0"
"10290",10290,"ohio,miami",6,"Miami County",NA,1954,"Ohio","ohio","miami county",39109,NA,NA
"10291",10291,"ohio,miami",6,"Miami County",728,1947,"Ohio","ohio","miami county",39109,11,"#6A15F5"
"10292",10292,"ohio,miami",2,"Miami County",NA,1958,"Ohio","ohio","miami county",39109,NA,NA
"10293",10293,"ohio,miami",2,"Miami County",NA,1963,"Ohio","ohio","miami county",39109,NA,NA
"10294",10294,"ohio,monroe",6,"Monroe County",0,1958,"Ohio","ohio","monroe county",39111,1,"#FF0000"
"10295",10295,"ohio,monroe",6,"Monroe County",0,1963,"Ohio","ohio","monroe county",39111,1,"#FF0000"
"10296",10296,"ohio,monroe",8,"Monroe County",16,1954,"Ohio","ohio","monroe county",39111,1,"#FF0000"
"10297",10297,"ohio,monroe",8,"Monroe County",0,1947,"Ohio","ohio","monroe county",39111,1,"#FF0000"
"10298",10298,"ohio,monroe",8,"Monroe County",5,1929,"Ohio","ohio","monroe county",39111,1,"#FF0000"
"10299",10299,"ohio,montgomery",2,"Montgomery County",NA,1954,"Ohio","ohio","montgomery county",39113,NA,NA
"10300",10300,"ohio,montgomery",2,"Montgomery County",773,1929,"Ohio","ohio","montgomery county",39113,12,"#5511F7"
"10301",10301,"ohio,montgomery",2,"Montgomery County",NA,1963,"Ohio","ohio","montgomery county",39113,NA,NA
"10302",10302,"ohio,montgomery",2,"Montgomery County",NA,1947,"Ohio","ohio","montgomery county",39113,NA,NA
"10303",10303,"ohio,montgomery",2,"Montgomery County",NA,1958,"Ohio","ohio","montgomery county",39113,NA,NA
"10304",10304,"ohio,morgan",9,"Morgan County",484,1963,"Ohio","ohio","morgan county",39115,8,"#A61DE0"
"10305",10305,"ohio,morgan",9,"Morgan County",53,1947,"Ohio","ohio","morgan county",39115,1,"#FF0000"
"10306",10306,"ohio,morgan",9,"Morgan County",23,1929,"Ohio","ohio","morgan county",39115,1,"#FF0000"
"10307",10307,"ohio,morgan",9,"Morgan County",507,1958,"Ohio","ohio","morgan county",39115,8,"#A61DE0"
"10308",10308,"ohio,morgan",9,"Morgan County",488,1954,"Ohio","ohio","morgan county",39115,8,"#A61DE0"
"10309",10309,"ohio,morrow",9,"Morrow County",0,1947,"Ohio","ohio","morrow county",39117,1,"#FF0000"
"10310",10310,"ohio,morrow",7,"Morrow County",0,1958,"Ohio","ohio","morrow county",39117,1,"#FF0000"
"10311",10311,"ohio,morrow",7,"Morrow County",767,1963,"Ohio","ohio","morrow county",39117,12,"#5511F7"
"10312",10312,"ohio,morrow",9,"Morrow County",555,1954,"Ohio","ohio","morrow county",39117,9,"#951DF1"
"10313",10313,"ohio,morrow",9,"Morrow County",42,1929,"Ohio","ohio","morrow county",39117,1,"#FF0000"
"10314",10314,"ohio,muskingum",5,"Muskingum County",600,1947,"Ohio","ohio","muskingum county",39119,9,"#951DF1"
"10315",10315,"ohio,muskingum",5,"Muskingum County",NA,1958,"Ohio","ohio","muskingum county",39119,NA,NA
"10316",10316,"ohio,muskingum",5,"Muskingum County",316,1929,"Ohio","ohio","muskingum county",39119,5,"#CC1180"
"10317",10317,"ohio,muskingum",5,"Muskingum County",952,1963,"Ohio","ohio","muskingum county",39119,14,"#2A08FB"
"10318",10318,"ohio,muskingum",5,"Muskingum County",NA,1954,"Ohio","ohio","muskingum county",39119,NA,NA
"10319",10319,"ohio,noble",8,"Noble County",0,1958,"Ohio","ohio","noble county",39121,1,"#FF0000"
"10320",10320,"ohio,noble",8,"Noble County",49,1947,"Ohio","ohio","noble county",39121,1,"#FF0000"
"10321",10321,"ohio,noble",8,"Noble County",0,1963,"Ohio","ohio","noble county",39121,1,"#FF0000"
"10322",10322,"ohio,noble",8,"Noble County",219,1954,"Ohio","ohio","noble county",39121,4,"#D90C60"
"10323",10323,"ohio,noble",8,"Noble County",16,1929,"Ohio","ohio","noble county",39121,1,"#FF0000"
"10324",10324,"ohio,ottawa",6,"Ottawa County",526,1947,"Ohio","ohio","ottawa county",39123,8,"#A61DE0"
"10325",10325,"ohio,ottawa",6,"Ottawa County",NA,1963,"Ohio","ohio","ottawa county",39123,NA,NA
"10326",10326,"ohio,ottawa",6,"Ottawa County",817,1958,"Ohio","ohio","ottawa county",39123,12,"#5511F7"
"10327",10327,"ohio,ottawa",6,"Ottawa County",188,1929,"Ohio","ohio","ottawa county",39123,3,"#E50840"
"10328",10328,"ohio,ottawa",6,"Ottawa County",669,1954,"Ohio","ohio","ottawa county",39123,10,"#8019F3"
"10329",10329,"ohio,paulding",9,"Paulding County",135,1947,"Ohio","ohio","paulding county",39125,2,"#F20420"
"10330",10330,"ohio,paulding",7,"Paulding County",586,1958,"Ohio","ohio","paulding county",39125,9,"#951DF1"
"10331",10331,"ohio,paulding",9,"Paulding County",30,1929,"Ohio","ohio","paulding county",39125,1,"#FF0000"
"10332",10332,"ohio,paulding",7,"Paulding County",904,1963,"Ohio","ohio","paulding county",39125,14,"#2A08FB"
"10333",10333,"ohio,paulding",9,"Paulding County",536,1954,"Ohio","ohio","paulding county",39125,8,"#A61DE0"
"10334",10334,"ohio,perry",7,"Perry County",364,1958,"Ohio","ohio","perry county",39127,6,"#BF15A0"
"10335",10335,"ohio,perry",7,"Perry County",288,1954,"Ohio","ohio","perry county",39127,5,"#CC1180"
"10336",10336,"ohio,perry",7,"Perry County",255,1947,"Ohio","ohio","perry county",39127,4,"#D90C60"
"10337",10337,"ohio,perry",7,"Perry County",373,1963,"Ohio","ohio","perry county",39127,6,"#BF15A0"
"10338",10338,"ohio,perry",7,"Perry County",107,1929,"Ohio","ohio","perry county",39127,2,"#F20420"
"10339",10339,"ohio,pickaway",6,"Pickaway County",628,1954,"Ohio","ohio","pickaway county",39129,10,"#8019F3"
"10340",10340,"ohio,pickaway",6,"Pickaway County",51,1929,"Ohio","ohio","pickaway county",39129,1,"#FF0000"
"10341",10341,"ohio,pickaway",6,"Pickaway County",NA,1958,"Ohio","ohio","pickaway county",39129,NA,NA
"10342",10342,"ohio,pickaway",6,"Pickaway County",NA,1963,"Ohio","ohio","pickaway county",39129,NA,NA
"10343",10343,"ohio,pickaway",6,"Pickaway County",156,1947,"Ohio","ohio","pickaway county",39129,3,"#E50840"
"10344",10344,"ohio,pike",7,"Pike County",0,1958,"Ohio","ohio","pike county",39131,1,"#FF0000"
"10345",10345,"ohio,pike",7,"Pike County",0,1963,"Ohio","ohio","pike county",39131,1,"#FF0000"
"10346",10346,"ohio,pike",9,"Pike County",746,1954,"Ohio","ohio","pike county",39131,11,"#6A15F5"
"10347",10347,"ohio,pike",9,"Pike County",9,1947,"Ohio","ohio","pike county",39131,1,"#FF0000"
"10348",10348,"ohio,pike",9,"Pike County",8,1929,"Ohio","ohio","pike county",39131,1,"#FF0000"
"10349",10349,"ohio,portage",6,"Portage County",891,1954,"Ohio","ohio","portage county",39133,14,"#2A08FB"
"10350",10350,"ohio,portage",6,"Portage County",297,1929,"Ohio","ohio","portage county",39133,5,"#CC1180"
"10351",10351,"ohio,portage",6,"Portage County",791,1963,"Ohio","ohio","portage county",39133,12,"#5511F7"
"10352",10352,"ohio,portage",6,"Portage County",527,1958,"Ohio","ohio","portage county",39133,8,"#A61DE0"
"10353",10353,"ohio,portage",6,"Portage County",514,1947,"Ohio","ohio","portage county",39133,8,"#A61DE0"
"10354",10354,"ohio,preble",6,"Preble County",149,1954,"Ohio","ohio","preble county",39135,3,"#E50840"
"10355",10355,"ohio,preble",6,"Preble County",20,1929,"Ohio","ohio","preble county",39135,1,"#FF0000"
"10356",10356,"ohio,preble",6,"Preble County",138,1958,"Ohio","ohio","preble county",39135,3,"#E50840"
"10357",10357,"ohio,preble",6,"Preble County",59,1947,"Ohio","ohio","preble county",39135,1,"#FF0000"
"10358",10358,"ohio,preble",6,"Preble County",298,1963,"Ohio","ohio","preble county",39135,5,"#CC1180"
"10359",10359,"ohio,putnam",8,"Putnam County",16,1929,"Ohio","ohio","putnam county",39137,1,"#FF0000"
"10360",10360,"ohio,putnam",6,"Putnam County",873,1954,"Ohio","ohio","putnam county",39137,13,"#3F0CF9"
"10361",10361,"ohio,putnam",6,"Putnam County",573,1958,"Ohio","ohio","putnam county",39137,9,"#951DF1"
"10362",10362,"ohio,putnam",6,"Putnam County",88,1947,"Ohio","ohio","putnam county",39137,2,"#F20420"
"10363",10363,"ohio,putnam",6,"Putnam County",928,1963,"Ohio","ohio","putnam county",39137,14,"#2A08FB"
"10364",10364,"ohio,richland",5,"Richland County",NA,1963,"Ohio","ohio","richland county",39139,NA,NA
"10365",10365,"ohio,richland",5,"Richland County",NA,1958,"Ohio","ohio","richland county",39139,NA,NA
"10366",10366,"ohio,richland",5,"Richland County",465,1929,"Ohio","ohio","richland county",39139,7,"#B319C0"
"10367",10367,"ohio,richland",5,"Richland County",NA,1954,"Ohio","ohio","richland county",39139,NA,NA
"10368",10368,"ohio,richland",5,"Richland County",NA,1947,"Ohio","ohio","richland county",39139,NA,NA
"10369",10369,"ohio,ross",5,"Ross County",586,1954,"Ohio","ohio","ross county",39141,9,"#951DF1"
"10370",10370,"ohio,ross",5,"Ross County",NA,1963,"Ohio","ohio","ross county",39141,NA,NA
"10371",10371,"ohio,ross",5,"Ross County",301,1947,"Ohio","ohio","ross county",39141,5,"#CC1180"
"10372",10372,"ohio,ross",7,"Ross County",158,1929,"Ohio","ohio","ross county",39141,3,"#E50840"
"10373",10373,"ohio,ross",5,"Ross County",799,1958,"Ohio","ohio","ross county",39141,12,"#5511F7"
"10374",10374,"ohio,sandusky",7,"Sandusky County",771,1947,"Ohio","ohio","sandusky county",39143,12,"#5511F7"
"10375",10375,"ohio,sandusky",7,"Sandusky County",NA,1958,"Ohio","ohio","sandusky county",39143,NA,NA
"10376",10376,"ohio,sandusky",7,"Sandusky County",NA,1954,"Ohio","ohio","sandusky county",39143,NA,NA
"10377",10377,"ohio,sandusky",7,"Sandusky County",257,1929,"Ohio","ohio","sandusky county",39143,4,"#D90C60"
"10378",10378,"ohio,sandusky",7,"Sandusky County",NA,1963,"Ohio","ohio","sandusky county",39143,NA,NA
"10379",10379,"ohio,scioto",4,"Scioto County",712,1958,"Ohio","ohio","scioto county",39145,11,"#6A15F5"
"10380",10380,"ohio,scioto",4,"Scioto County",857,1963,"Ohio","ohio","scioto county",39145,13,"#3F0CF9"
"10381",10381,"ohio,scioto",4,"Scioto County",483,1947,"Ohio","ohio","scioto county",39145,8,"#A61DE0"
"10382",10382,"ohio,scioto",4,"Scioto County",554,1954,"Ohio","ohio","scioto county",39145,9,"#951DF1"
"10383",10383,"ohio,scioto",4,"Scioto County",307,1929,"Ohio","ohio","scioto county",39145,5,"#CC1180"
"10384",10384,"ohio,seneca",7,"Seneca County",287,1929,"Ohio","ohio","seneca county",39147,5,"#CC1180"
"10385",10385,"ohio,seneca",5,"Seneca County",NA,1958,"Ohio","ohio","seneca county",39147,NA,NA
"10386",10386,"ohio,seneca",7,"Seneca County",940,1947,"Ohio","ohio","seneca county",39147,14,"#2A08FB"
"10387",10387,"ohio,seneca",5,"Seneca County",NA,1963,"Ohio","ohio","seneca county",39147,NA,NA
"10388",10388,"ohio,seneca",7,"Seneca County",NA,1954,"Ohio","ohio","seneca county",39147,NA,NA
"10389",10389,"ohio,shelby",7,"Shelby County",863,1958,"Ohio","ohio","shelby county",39149,13,"#3F0CF9"
"10390",10390,"ohio,shelby",7,"Shelby County",NA,1954,"Ohio","ohio","shelby county",39149,NA,NA
"10391",10391,"ohio,shelby",7,"Shelby County",770,1947,"Ohio","ohio","shelby county",39149,12,"#5511F7"
"10392",10392,"ohio,shelby",7,"Shelby County",NA,1963,"Ohio","ohio","shelby county",39149,NA,NA
"10393",10393,"ohio,shelby",7,"Shelby County",173,1929,"Ohio","ohio","shelby county",39149,3,"#E50840"
"10394",10394,"ohio,stark",2,"Stark County",NA,1963,"Ohio","ohio","stark county",39151,NA,NA
"10395",10395,"ohio,stark",3,"Stark County",643,1929,"Ohio","ohio","stark county",39151,10,"#8019F3"
"10396",10396,"ohio,stark",2,"Stark County",NA,1954,"Ohio","ohio","stark county",39151,NA,NA
"10397",10397,"ohio,stark",2,"Stark County",990,1947,"Ohio","ohio","stark county",39151,15,"#1504FD"
"10398",10398,"ohio,stark",2,"Stark County",NA,1958,"Ohio","ohio","stark county",39151,NA,NA
"10399",10399,"ohio,summit",2,"Summit County",NA,1958,"Ohio","ohio","summit county",39153,NA,NA
"10400",10400,"ohio,summit",2,"Summit County",NA,1954,"Ohio","ohio","summit county",39153,NA,NA
"10401",10401,"ohio,summit",2,"Summit County",NA,1963,"Ohio","ohio","summit county",39153,NA,NA
"10402",10402,"ohio,summit",2,"Summit County",NA,1947,"Ohio","ohio","summit county",39153,NA,NA
"10403",10403,"ohio,summit",2,"Summit County",818,1929,"Ohio","ohio","summit county",39153,13,"#3F0CF9"
"10404",10404,"ohio,trumbull",2,"Trumbull County",NA,1958,"Ohio","ohio","trumbull county",39155,NA,NA
"10405",10405,"ohio,trumbull",2,"Trumbull County",NA,1947,"Ohio","ohio","trumbull county",39155,NA,NA
"10406",10406,"ohio,trumbull",2,"Trumbull County",NA,1954,"Ohio","ohio","trumbull county",39155,NA,NA
"10407",10407,"ohio,trumbull",2,"Trumbull County",NA,1963,"Ohio","ohio","trumbull county",39155,NA,NA
"10408",10408,"ohio,trumbull",2,"Trumbull County",694,1929,"Ohio","ohio","trumbull county",39155,11,"#6A15F5"
"10409",10409,"ohio,tuscarawas",6,"Tuscarawas County",NA,1963,"Ohio","ohio","tuscarawas county",39157,NA,NA
"10410",10410,"ohio,tuscarawas",6,"Tuscarawas County",995,1958,"Ohio","ohio","tuscarawas county",39157,15,"#1504FD"
"10411",10411,"ohio,tuscarawas",6,"Tuscarawas County",839,1954,"Ohio","ohio","tuscarawas county",39157,13,"#3F0CF9"
"10412",10412,"ohio,tuscarawas",6,"Tuscarawas County",587,1947,"Ohio","ohio","tuscarawas county",39157,9,"#951DF1"
"10413",10413,"ohio,tuscarawas",6,"Tuscarawas County",237,1929,"Ohio","ohio","tuscarawas county",39157,4,"#D90C60"
"10414",10414,"ohio,union",6,"Union County",314,1954,"Ohio","ohio","union county",39159,5,"#CC1180"
"10415",10415,"ohio,union",6,"Union County",NA,1963,"Ohio","ohio","union county",39159,NA,NA
"10416",10416,"ohio,union",6,"Union County",47,1929,"Ohio","ohio","union county",39159,1,"#FF0000"
"10417",10417,"ohio,union",6,"Union County",205,1947,"Ohio","ohio","union county",39159,4,"#D90C60"
"10418",10418,"ohio,union",6,"Union County",597,1958,"Ohio","ohio","union county",39159,9,"#951DF1"
"10419",10419,"ohio,van wert",6,"Van Wert County",576,1954,"Ohio","ohio","van wert county",39161,9,"#951DF1"
"10420",10420,"ohio,van wert",6,"Van Wert County",738,1958,"Ohio","ohio","van wert county",39161,11,"#6A15F5"
"10421",10421,"ohio,van wert",6,"Van Wert County",70,1929,"Ohio","ohio","van wert county",39161,2,"#F20420"
"10422",10422,"ohio,van wert",6,"Van Wert County",NA,1963,"Ohio","ohio","van wert county",39161,NA,NA
"10423",10423,"ohio,van wert",6,"Van Wert County",342,1947,"Ohio","ohio","van wert county",39161,6,"#BF15A0"
"10424",10424,"ohio,vinton",9,"Vinton County",25,1929,"Ohio","ohio","vinton county",39163,1,"#FF0000"
"10425",10425,"ohio,vinton",9,"Vinton County",286,1958,"Ohio","ohio","vinton county",39163,5,"#CC1180"
"10426",10426,"ohio,vinton",9,"Vinton County",277,1954,"Ohio","ohio","vinton county",39163,5,"#CC1180"
"10427",10427,"ohio,vinton",9,"Vinton County",439,1963,"Ohio","ohio","vinton county",39163,7,"#B319C0"
"10428",10428,"ohio,vinton",9,"Vinton County",251,1947,"Ohio","ohio","vinton county",39163,4,"#D90C60"
"10429",10429,"ohio,warren",6,"Warren County",180,1929,"Ohio","ohio","warren county",39165,3,"#E50840"
"10430",10430,"ohio,warren",6,"Warren County",173,1958,"Ohio","ohio","warren county",39165,3,"#E50840"
"10431",10431,"ohio,warren",6,"Warren County",219,1963,"Ohio","ohio","warren county",39165,4,"#D90C60"
"10432",10432,"ohio,warren",6,"Warren County",530,1947,"Ohio","ohio","warren county",39165,8,"#A61DE0"
"10433",10433,"ohio,warren",6,"Warren County",265,1954,"Ohio","ohio","warren county",39165,4,"#D90C60"
"10434",10434,"ohio,washington",7,"Washington County",NA,1958,"Ohio","ohio","washington county",39167,NA,NA
"10435",10435,"ohio,washington",7,"Washington County",810,1954,"Ohio","ohio","washington county",39167,12,"#5511F7"
"10436",10436,"ohio,washington",7,"Washington County",NA,1963,"Ohio","ohio","washington county",39167,NA,NA
"10437",10437,"ohio,washington",7,"Washington County",116,1929,"Ohio","ohio","washington county",39167,2,"#F20420"
"10438",10438,"ohio,washington",7,"Washington County",337,1947,"Ohio","ohio","washington county",39167,5,"#CC1180"
"10439",10439,"ohio,wayne",6,"Wayne County",NA,1958,"Ohio","ohio","wayne county",39169,NA,NA
"10440",10440,"ohio,wayne",6,"Wayne County",238,1929,"Ohio","ohio","wayne county",39169,4,"#D90C60"
"10441",10441,"ohio,wayne",6,"Wayne County",NA,1954,"Ohio","ohio","wayne county",39169,NA,NA
"10442",10442,"ohio,wayne",6,"Wayne County",NA,1963,"Ohio","ohio","wayne county",39169,NA,NA
"10443",10443,"ohio,wayne",6,"Wayne County",560,1947,"Ohio","ohio","wayne county",39169,9,"#951DF1"
"10444",10444,"ohio,williams",7,"Williams County",956,1958,"Ohio","ohio","williams county",39171,15,"#1504FD"
"10445",10445,"ohio,williams",7,"Williams County",111,1929,"Ohio","ohio","williams county",39171,2,"#F20420"
"10446",10446,"ohio,williams",7,"Williams County",800,1954,"Ohio","ohio","williams county",39171,12,"#5511F7"
"10447",10447,"ohio,williams",7,"Williams County",NA,1963,"Ohio","ohio","williams county",39171,NA,NA
"10448",10448,"ohio,williams",7,"Williams County",417,1947,"Ohio","ohio","williams county",39171,7,"#B319C0"
"10449",10449,"ohio,wood",6,"Wood County",NA,1958,"Ohio","ohio","wood county",39173,NA,NA
"10450",10450,"ohio,wood",6,"Wood County",182,1929,"Ohio","ohio","wood county",39173,3,"#E50840"
"10451",10451,"ohio,wood",6,"Wood County",731,1947,"Ohio","ohio","wood county",39173,11,"#6A15F5"
"10452",10452,"ohio,wood",6,"Wood County",NA,1963,"Ohio","ohio","wood county",39173,NA,NA
"10453",10453,"ohio,wood",6,"Wood County",NA,1954,"Ohio","ohio","wood county",39173,NA,NA
"10454",10454,"ohio,wyandot",7,"Wyandot County",503,1958,"Ohio","ohio","wyandot county",39175,8,"#A61DE0"
"10455",10455,"ohio,wyandot",7,"Wyandot County",48,1929,"Ohio","ohio","wyandot county",39175,1,"#FF0000"
"10456",10456,"ohio,wyandot",7,"Wyandot County",306,1954,"Ohio","ohio","wyandot county",39175,5,"#CC1180"
"10457",10457,"ohio,wyandot",7,"Wyandot County",155,1947,"Ohio","ohio","wyandot county",39175,3,"#E50840"
"10458",10458,"ohio,wyandot",7,"Wyandot County",768,1963,"Ohio","ohio","wyandot county",39175,12,"#5511F7"
