"","X","polyname","RUCC","County","VAM","year","state","state.low","county.low","fips","colorID","color"
"10067",10067,"ohio,carroll",6,"Carroll County",278,1947,"Ohio","ohio","carroll county",39019,5,"#CC1180"
"10068",10068,"ohio,carroll",6,"Carroll County",200,1929,"Ohio","ohio","carroll county",39019,3,"#E50840"
"10069",10069,"ohio,champaign",6,"Champaign County",731,1963,"Ohio","ohio","champaign county",39021,11,"#6A15F5"
"10070",10070,"ohio,champaign",6,"Champaign County",110,1929,"Ohio","ohio","champaign county",39021,2,"#F20420"
"10071",10071,"ohio,champaign",6,"Champaign County",487,1954,"Ohio","ohio","champaign county",39021,8,"#A61DE0"
"10072",10072,"ohio,champaign",6,"Champaign County",558,1958,"Ohio","ohio","champaign county",39021,9,"#951DF1"
"10073",10073,"ohio,champaign",6,"Champaign County",319,1947,"Ohio","ohio","champaign county",39021,5,"#CC1180"
"10074",10074,"ohio,clark",3,"Clark County",NA,1963,"Ohio","ohio","clark county",39023,NA,NA
"10075",10075,"ohio,clark",3,"Clark County",972,1958,"Ohio","ohio","clark county",39023,15,"#1504FD"
"10076",10076,"ohio,clark",4,"Clark County",591,1929,"Ohio","ohio","clark county",39023,9,"#951DF1"
"10077",10077,"ohio,clark",3,"Clark County",NA,1954,"Ohio","ohio","clark county",39023,NA,NA
"10078",10078,"ohio,clark",3,"Clark County",NA,1947,"Ohio","ohio","clark county",39023,NA,NA
"10079",10079,"ohio,clermont",8,"Clermont County",61,1947,"Ohio","ohio","clermont county",39025,1,"#FF0000"
"10080",10080,"ohio,clermont",6,"Clermont County",32,1958,"Ohio","ohio","clermont county",39025,1,"#FF0000"
"10081",10081,"ohio,clermont",8,"Clermont County",59,1954,"Ohio","ohio","clermont county",39025,1,"#FF0000"
"10082",10082,"ohio,clermont",6,"Clermont County",62,1963,"Ohio","ohio","clermont county",39025,1,"#FF0000"
"10083",10083,"ohio,clermont",8,"Clermont County",42,1929,"Ohio","ohio","clermont county",39025,1,"#FF0000"
"10084",10084,"ohio,clinton",6,"Clinton County",423,1963,"Ohio","ohio","clinton county",39027,7,"#B319C0"
"10085",10085,"ohio,clinton",6,"Clinton County",70,1929,"Ohio","ohio","clinton county",39027,2,"#F20420"
"10086",10086,"ohio,clinton",6,"Clinton County",489,1958,"Ohio","ohio","clinton county",39027,8,"#A61DE0"
"10087",10087,"ohio,clinton",6,"Clinton County",429,1954,"Ohio","ohio","clinton county",39027,7,"#B319C0"
"10088",10088,"ohio,clinton",6,"Clinton County",169,1947,"Ohio","ohio","clinton county",39027,3,"#E50840"
"10089",10089,"ohio,columbiana",4,"Columbiana County",808,1954,"Ohio","ohio","columbiana county",39029,12,"#5511F7"
"10090",10090,"ohio,columbiana",2,"Columbiana County",268,1929,"Ohio","ohio","columbiana county",39029,4,"#D90C60"
"10091",10091,"ohio,columbiana",4,"Columbiana County",663,1958,"Ohio","ohio","columbiana county",39029,10,"#8019F3"
"10092",10092,"ohio,columbiana",4,"Columbiana County",598,1947,"Ohio","ohio","columbiana county",39029,9,"#951DF1"
"10093",10093,"ohio,columbiana",4,"Columbiana County",850,1963,"Ohio","ohio","columbiana county",39029,13,"#3F0CF9"
